IPO_company_name,Chittorgarh_link,Security_type,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,company_long_name,company_website,bse_link,bse_symbol,nse_link,nse_symbol,screener_link,gmp_company_name,gmp_website_link,day1_date,day1_price,day2_date,day2_price,day3_date,day3_price,day4_date,day4_price,day5_date,day5_price,day6_date,day6_price,day7_date,day7_price,day8_date,day8_price,day9_date,day9_price,day10_date,day10_price,day11_date,day11_price,day12_date,day12_price,day13_date,day13_price,day14_date,day14_price,day15_date,day15_price,day16_date,day16_price,day17_date,day17_price,day18_date,day18_price,day19_date,day19_price,day20_date,day20_price,day21_date,day21_price,day22_date,day22_price,day23_date,day23_price,day24_date,day24_price,day25_date,day25_price,day26_date,day26_price,day27_date,day27_price,day28_date,day28_price,day29_date,day29_price,day30_date,day30_price,day31_date,day31_price,day32_date,day32_price,day33_date,day33_price,ao_token,IPO_listing_price
Eco Friendly Food Processing Park Limited,https://www.chittorgarh.com/ipo/eco_friendly_food_ipo/361/,SME,2012-12-27,2012-12-31,2013-01-14,10,25,6000,75600000,0,0,2,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/dec-2012/eco-friendly-food-processing-park-limited_24023.html,Eco Friendly Food Processing Park Limited,,https://www.bseindia.com/stock-share-price/eco-friendly-food-processing-park-ltd/EFPL/534839/,EFPL,,,https://www.screener.in/company/534839/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veto Switchgears & Cables Limited,https://www.chittorgarh.com/ipo/veto_switchgears_ipo/357/,SME,2012-12-03,2012-12-05,2012-02-13,10,50,3000,250100000,0,0,0,0,0,0,0.37,error,0.18,0.37,error,0.41,1.05,error,2.06,https://www.sebi.gov.in/filings/public-issues/dec-2012/veto-switchgears-and-cables-limited_23946.html,Veto Switchgears & Cables Limited,http://www.vetoswitchgears.com,https://www.bseindia.com/stock-share-price/veto-switchgears-cables-ltd/VETO/539331/,VETO,https://www.nseindia.com/get-quotes/equity?symbol=VETO,VETO,https://www.screener.in/company/VETO/consolidated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539331,
Bronze infra-tech Limited,https://www.chittorgarh.com/ipo/bronze_infra_tech_ipo/355/,SME,2012-10-19,2012-10-23,2012-11-07,10,15,8000,86800000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/oct-2012/bronze-infra-tech-limited_23657.html,Bronze Infra Tech Private Limited,https://bronzeinfra-tech.com/,https://www.bseindia.com/stock-share-price/bronze-infra-tech-ltd/bitl/534731/,BITL,,,https://www.screener.in/company/id/176930/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCL Retail Limited,https://www.chittorgarh.com/ipo/rcl_retail_ipo/353/,SME,2012-09-27,2012-10-01,2012-10-16,10,10,10000,58000000,1,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/sep-2012/rcl-retail-limited_23503.html,Shanti Guru Industries Limited,,https://www.bseindia.com/stock-share-price/shanti-guru-industries-ltd/SHANTIGURU/534708/,SHANTIGURU,,,https://www.screener.in/company/534708/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534708,
Anshu's Clothing Limited,https://www.chittorgarh.com/ipo/anshus_clothing_ipo/352/,SME,2012-09-26,2012-09-28,2012-10-12,10,27,4000,50500000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/sep-2012/anshu-s-clothing-limited_23474.html,Aditri Industries Ltd,http://www.anshusdesigns.com%20;%20www.anshusclothing.com/,https://www.bseindia.com/stock-share-price/aditri-industries-limited/aditri/534707,ADITRI,,,https://www.screener.in/company/id/131709/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Commotrade Limited,https://www.chittorgarh.com/ipo/comfort_commotrade_ipo/350/,SME,2012-09-05,2012-09-10,2012-09-24,10,10,10000,60000000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2012/comfort-commotrade-limited_23291.html,Comfort Commotrade Limited,http://www.comfortcommotrade.com,https://www.bseindia.com/stock-share-price/comfort-commotrade-ltd/COMCL/534691/,COMCL,,,https://www.screener.in/company/534691/consolidated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534691,
Thejo Engineering Limited,https://www.chittorgarh.com/ipo/thejo_engineering_ipo/351/,SME,2012-09-04,2012-09-06,2012-09-18,10,402,300,190100000,1,0,1,0,0,0,1,error,0.04,1,error,0.13,1,error,2.61,"https://www.sebi.gov.in/web/?file=/sebi_data/attachdocs/1347604486502.pdf#page=1&zoom=page-width,-15,842",Thejo Engineering Limited,https://www.thejo-engg.com/,,,https://www.nseindia.com/get-quotes/equity?symbol=THEJO,THEJO,https://www.screener.in/company/THEJO/consolidated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRG Housing Finance Limited,https://www.chittorgarh.com/ipo/srg_housing_finance_ipo/349/,SME,2012-08-22,2012-08-28,2012-09-11,10,20,6000,70100000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2012/srg-housing-finance-limited_23264.html,SRG Housing Finance Limited,http://www.srghousing.com,https://www.bseindia.com/stock-share-price/srg-housing-finance-ltd/SRGHFL/534680/,SRGHFL,https://www.nseindia.com/get-quotes/equity?symbol=SRGHFL,SRGHFL,https://www.screener.in/company/SRGHFL/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534680,
Jointeca Education Solutions Limited,https://www.chittorgarh.com/ipo/jointeca_education_ipo/348/,SME,2012-08-16,2012-08-21,2012-09-04,10,15,8000,53800000,0,0,2,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/aug-2012/jointeca-education-solutions-limited_23225.html,Jointeca Education Solutions Limited,,https://www.bseindia.com/stock-share-price/jointeca-education-solutions-ltd/JOINTECAED/534659/,JOINTECAED,,,https://www.screener.in/company/534659/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534659,
Jupiter Infomedia Limited,https://www.chittorgarh.com/ipo/jupiter_infomedia_ipo/347/,SME,2012-07-30,2012-08-01,2012-08-16,10,20,6000,40800000,0,0,1,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/jul-2012/jupiter-infomedia-limited_23123.html,Jupiter Infomedia Limited,http://www.jupiterinfomedia.com,https://www.bseindia.com/stock-share-price/jupiter-infomedia-ltd/JUPITERIN/534623/,JUPITERIN,,,https://www.screener.in/company/534623/consolidated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534623,
