Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link
Midwest Limited,https://www.chittorgarh.com/ipo/midwest-ipo/2150/,EQ,2025-07-29,2025-07-31,2025-08-05,1.0,675.0,675.0,error,16.0,1.0,0.0,5.0,0.0,0.0,0.01,3.33,6.93,0.25,12.08,21.27,140.5,75.93,53.81,https://www.bseindia.com/corporates/download/325928/IPO%20Open/RHP_20250724190452.pdf,https://www.investorgain.com/chr-gmp/aditya-infotech-ipo/2036
Canara HSBC Life Insurance Company Limited,https://www.chittorgarh.com/ipo/canara-hsbc-life-insurance-ipo/2429/,EQ,2025-10-09,2025-10-13,2025-10-16,10.0,266.0,266.0,error,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.36,0.0,0.53,0.74,25.92,6.45,1.91,https://www.sebi.gov.in/filings/public-issues/oct-2025/canara-robeco-asset-management-company-limited-rhp_97186.html,https://www.investorgain.com/chr-gmp/canara-robeco-ipo/2428
Canara Robeco Asset Management Company Limited,https://www.chittorgarh.com/ipo/canara-robeco-ipo/2428/,EQ,2025-08-11,2025-08-13,2025-08-19,1.0,517.0,517.0,error,0.0,0.0,1.0,0.0,0.0,5.0,0.57,0.04,0.39,0.84,0.23,0.75,4.25,0.57,1.38,https://www.sebi.gov.in/filings/public-issues/aug-2025/bluestone-jewellery-and-lifestyle-limited-rhp_95849.html,https://www.investorgain.com/chr-gmp/bluestone-jewellery-ipo/2059
Rubicon Research Limited,https://www.chittorgarh.com/ipo/rubicon-research-ipo/2254/,EQ,2025-09-23,2025-09-25,2025-09-30,5.0,414.0,414.0,error,13.0,2.0,0.0,0.0,0.0,0.0,0.01,0.56,0.61,0.02,1.98,1.51,46.25,30.16,5.11,https://nsearchives.nseindia.com/content/ipo/RHP_ARSSBL.zip,https://www.investorgain.com/chr-gmp/anand-rathi-stock-brokers-ipo/2028
LG Electronics India Limited,https://www.chittorgarh.com/ipo/lg-electronics-india-ipo/2064/,EQ,2025-09-30,2025-10-03,2025-10-08,10.0,100.0,100.0,error,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.61,0.58,3.5,1.22,1.22,27.31,175.3,23.14,https://nsearchives.nseindia.com/content/ipo/RHP_ADVANCE.zip,https://www.investorgain.com/chr-gmp/advance-agrolife-ipo/2290
Tata Capital Limited,https://www.chittorgarh.com/ipo/tata-capital-ipo/2317/,EQ,2025-09-01,2025-09-03,2025-09-09,10.0,126.0,126.0,error,4.0,0.0,1.0,0.0,0.0,0.0,0.04,5.82,6.72,0.53,36.41,23.35,35.86,209.4,54.96,https://nsearchives.nseindia.com/content/ipo/RHP_AMANTA.zip,https://www.investorgain.com/chr-gmp/amanta-healthcare-ipo/2001
WeWork India Management Limited,https://www.chittorgarh.com/ipo/wework-india-management-ipo/2014/,EQ,2025-09-24,2025-09-26,2025-10-01,10.0,99.0,99.0,error,0.0,0.0,1.0,0.0,0.0,0.0,1.08,0.02,0.13,1.08,0.05,0.27,3.09,3.03,0.99,https://nsearchives.nseindia.com/content/ipo/RHP_BMWVENTLTD.zip,https://www.investorgain.com/chr-gmp/bmw-ventures-ipo/2212
Advance Agrolife Limited,https://www.chittorgarh.com/ipo/advance-agrolife-ipo/2290/,EQ,2025-08-07,2025-08-11,2025-08-14,2.0,275.0,275.0,error,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.34,0.58,0.38,0.88,1.51,10.3,14.01,5.36,https://nsearchives.nseindia.com/content/ipo/RHP_ALLTIME.zip,https://www.investorgain.com/chr-gmp/all-time-plastics-ipo/2125
Om Freight Forwarders Limited,https://www.chittorgarh.com/ipo/om-freight-forwarders-ipo/2407/,EQ,2025-08-26,2025-08-29,2025-09-03,10.0,91.0,91.0,error,0.0,1.0,0.0,1.0,0.0,0.0,0.91,0.71,8.99,1.01,2.09,22.33,1.07,10.61,47.26,https://www.sebi.gov.in/filings/public-issues/aug-2025/anlon-healthcare-limited-rhp_96196.html,https://www.investorgain.com/chr-gmp/anlon-healthcare-ipo/2053
Fabtech Technologies Ltd,https://www.chittorgarh.com/ipo/fabtech-technologies-ipo/2624/,EQ,2025-09-22,2025-09-24,2025-09-29,2.0,754.0,754.0,error,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.03,0.99,1.48,5.72,3.04,194.77,55.82,10.76,https://nsearchives.nseindia.com/content/ipo/RHP_ATLANTAELE.zip,https://www.investorgain.com/chr-gmp/atlanta-electricals-ipo/2011
Glottis Limited,https://www.chittorgarh.com/ipo/glottis-ipo/1998/,EQ,2025-10-10,2025-10-14,2025-10-17,10.0,106.0,106.0,error,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.14,0.32,0.14,0.28,7.05,0.33,0.42,https://nsearchives.nseindia.com/content/ipo/RHP_CANHLIFE.zip,https://www.investorgain.com/chr-gmp/canara-hsbc-life-insurance-ipo/2429
Pace Digitek Limited,https://www.chittorgarh.com/ipo/pace-digitek-ipo/2306/,EQ,2025-09-10,2025-09-12,2025-09-17,2.0,61.0,61.0,error,0.0,0.0,0.0,0.0,0.0,0.0,1.16,4.46,19.6,2.4,15.36,59.48,20.3,87.97,164.89,https://www.sebi.gov.in/filings/public-issues/sep-2025/dev-accelerator-limited-rhp_96412.html,https://www.investorgain.com/chr-gmp/dev-accelerator-ipo/2117
Trualt Bioenergy Limited,https://www.chittorgarh.com/ipo/trualt-bioenergy-ipo/2231/,EQ,2025-09-24,2025-09-26,2025-10-01,2.0,204.0,204.0,error,10.0,1.0,0.0,0.0,0.0,0.0,0.46,0.13,0.3,0.46,0.48,0.74,5.09,3.79,1.74,https://nsearchives.nseindia.com/content/ipo/RHP_EPACKPEB.zip,https://www.investorgain.com/chr-gmp/epack-prefab-technologies-ipo/2023
Jinkushal Industries Limited,https://www.chittorgarh.com/ipo/jinkushal-industries-ipo/2432/,EQ,2025-09-16,2025-09-18,2025-09-23,1.0,247.0,247.0,error,11.0,2.0,0.0,1.0,0.0,0.0,0.28,0.93,0.35,0.28,1.3,0.76,1.1,2.02,1.31,https://nsearchives.nseindia.com/content/ipo/RHP_EUROPRATIK.zip,https://www.investorgain.com/chr-gmp/euro-pratik-ipo/2015
Jain Resource Recycling Limited,https://www.chittorgarh.com/ipo/jain-resource-recycling-ipo/2345/,EQ,2025-09-29,2025-10-01,2025-10-07,10.0,191.0,191.0,error,6.0,2.0,0.0,0.0,0.0,0.0,0.77,0.46,0.71,0.94,0.76,1.2,2.02,1.97,2.09,https://nsearchives.nseindia.com/content/ipo/RHP_FABTECH.zip,https://www.investorgain.com/chr-gmp/fabtech-technologies-ipo/2624
